Machine_ID,Factory_ID,Production_Line,Machine_Type,Installation_Year,Temperature_C,Vibration_mm_s,Pressure_bar,Voltage_V,Current_A,Humidity_Percent,Noise_dB,RPM,Torque_Nm,Power_kW,Runtime_Hours,Downtime_Hours,Production_Count,Utilization_Percent,Maintenance_Cost_USD,Ambient_Temperature,Air_Quality_Index,Dust_Level,Failure_Flag,Failure_Type,Days_To_Failure,Criticality_Level,Last_Maintenance_Date,Maintenance_Type,Maintenance_Team,Spare_Parts_Replaced,Timestamp,Day_of_Week,Month,Quarter,Energy_Consumption_kWh,Efficiency_Score,Battery_Backup_Status,Sensor_Health_Score,Predictive_Risk_Score,Remaining_Useful_Life
M03235,F070,3,Pump,2010,44.33,15.03,12.57,238.69,87.55,57.24,50.47,679,453.58,379.19,1825.13,3727.24,85344,61.94,13814.8,40.7,287,99.22,0,Power Failure,209,High,2023-06-12 22:16:00,Corrective,Team_10,14,2023-11-09 22:16:00,Thursday,11,4,3201.69,58.51,Unavailable,81.37,91.34,99
M00372,F054,5,Pump,2012,84.35,7.24,11.15,230.32,138.37,29.09,66.95,1883,646.45,19.51,3290.74,4780.25,61999,82.3,18769.43,39.91,135,8.13,0,Power Failure,186,Critical,2024-06-11 17:58:00,Emergency,Team_15,4,2024-08-14 17:58:00,Wednesday,8,3,430.86,90.95,Unavailable,93.06,61.58,1418
M02834,F077,18,Compressor,2019,97.73,6.19,13.19,374.03,38.73,42.74,66.24,4868,383.61,205.83,25314.92,957.96,6339,78.1,6665.8,30.41,137,68.05,0,Power Failure,114,Critical,2024-06-20 04:50:00,Inspection,Team_20,5,2024-10-16 04:50:00,Wednesday,10,4,4977.18,71.13,Available,73.36,61.0,147
M01205,F007,12,Robot,2017,98.23,19.57,3.1,319.96,87.62,72.73,105.81,4589,570.25,453.33,20075.22,2874.07,10663,40.76,10437.3,29.58,239,33.28,0,Bearing Failure,305,High,2024-04-26 20:51:00,Inspection,Team_1,9,2024-09-11 20:51:00,Wednesday,9,3,5794.62,74.93,Unavailable,96.03,4.7,1639
M01645,F002,18,Pump,2019,90.68,7.87,11.57,472.71,127.12,45.53,72.67,4300,382.26,331.66,11135.4,255.61,82482,73.21,14655.78,43.92,109,33.72,0,Sensor Fault,57,Medium,2024-05-19 20:19:00,Preventive,Team_11,4,2024-07-11 20:19:00,Thursday,7,3,4450.22,99.08,Unavailable,94.84,10.45,1726
M03935,F077,10,Compressor,2023,110.62,12.14,1.32,336.59,92.05,74.79,107.84,4910,605.35,379.66,6364.43,4838.85,49225,47.47,14209.71,19.11,226,29.41,0,,113,Low,2024-08-12 20:28:00,Emergency,Team_12,11,2024-12-29 20:28:00,Sunday,12,4,1289.77,88.84,Unavailable,98.21,82.74,1526
M04527,F096,13,Robot,2020,43.43,1.16,3.22,461.14,195.03,75.02,97.42,879,801.53,224.62,29935.73,421.37,16431,61.17,12070.04,32.7,59,42.6,0,Bearing Failure,304,Medium,2024-02-20 15:55:00,Preventive,Team_3,9,2024-05-03 15:55:00,Friday,5,2,9069.28,59.4,Available,81.69,17.69,1876
M04302,F088,12,Lathe,2023,67.47,5.38,9.63,412.62,74.52,20.58,71.1,3127,772.08,129.21,19275.43,4453.65,97306,80.17,16544.23,14.86,215,17.4,0,Motor Failure,155,Low,2024-06-21 19:12:00,Inspection,Team_19,12,2024-10-15 19:12:00,Tuesday,10,4,9008.9,59.65,Unavailable,71.82,90.59,1027
M04414,F050,5,Compressor,2016,57.3,7.73,1.53,277.86,32.96,29.88,102.16,4368,589.37,79.31,27318.05,3803.46,93755,50.14,13982.69,21.92,282,94.42,0,Sensor Fault,153,High,2024-05-08 18:28:00,Inspection,Team_13,0,2024-06-08 18:28:00,Saturday,6,2,8273.47,83.49,Unavailable,70.81,36.61,367
M02306,F095,11,Lathe,2014,58.73,8.51,10.65,456.05,153.75,74.02,52.23,867,434.46,88.14,20502.29,4245.87,6813,43.5,10164.4,12.56,168,88.22,0,Power Failure,157,Medium,2024-02-04 21:06:00,Emergency,Team_7,3,2024-07-09 21:06:00,Tuesday,7,3,8505.49,55.0,Unavailable,60.8,45.53,666
M01026,F097,3,Lathe,2020,50.93,0.05,11.03,328.97,119.84,83.75,111.44,974,177.22,461.83,36011.59,3847.89,25317,46.8,6401.07,40.61,142,30.95,0,Bearing Failure,361,Medium,2024-11-11 16:44:00,Inspection,Team_4,2,2025-01-29 16:44:00,Wednesday,1,1,3195.25,91.39,Available,88.06,27.35,156
M04290,F058,12,Conveyor,2011,99.19,11.3,14.22,455.41,93.49,43.3,83.52,1288,105.61,222.98,49356.4,4383.75,19560,76.91,10663.52,20.69,206,87.91,0,Overheating,129,Low,2025-02-25 06:55:00,Corrective,Team_1,8,2025-06-10 06:55:00,Tuesday,6,2,8787.29,86.85,Available,77.73,31.98,1194
M01387,F013,3,Compressor,2021,67.61,13.8,7.88,438.33,81.51,86.33,72.67,4707,385.44,267.3,18847.35,1375.44,79144,65.34,17985.61,10.99,98,42.63,1,Motor Failure,164,Critical,2025-01-16 08:56:00,Preventive,Team_19,7,2025-03-29 08:56:00,Saturday,3,1,5675.78,76.72,Unavailable,83.09,33.4,1341
M03597,F032,8,CNC,2016,105.66,4.2,11.36,210.74,194.19,61.93,111.68,3167,525.2,344.58,12451.51,1253.88,93135,55.17,14370.22,39.86,268,69.79,0,Overheating,330,High,2022-08-06 05:19:00,Emergency,Team_14,9,2023-01-13 05:19:00,Friday,1,1,1724.55,61.56,Unavailable,85.93,58.51,1038
M02484,F078,1,Pump,2023,78.72,12.01,11.24,202.5,20.65,87.88,56.04,2834,210.51,328.34,17983.6,1509.78,94144,63.92,3632.7,11.96,139,16.93,0,Power Failure,158,Medium,2023-02-18 14:39:00,Emergency,Team_18,0,2023-04-25 14:39:00,Tuesday,4,2,3208.66,53.79,Unavailable,78.55,58.79,963
M02030,F091,11,Compressor,2016,83.36,7.83,1.13,341.12,19.13,39.18,83.22,4125,950.43,176.49,34710.03,2540.7,47409,78.11,8623.35,26.45,121,81.89,0,Sensor Fault,336,Critical,2025-04-04 14:52:00,Inspection,Team_1,5,2025-08-11 14:52:00,Monday,8,3,1549.21,63.02,Available,77.62,24.34,621
M00961,F087,2,Robot,2014,107.03,2.62,10.31,317.04,103.95,84.53,84.43,1957,484.28,98.06,8762.53,31.6,93400,54.05,19178.28,36.23,222,62.12,0,Motor Failure,321,Critical,2023-12-01 04:21:00,Corrective,Team_16,1,2024-03-17 04:21:00,Sunday,3,1,4828.6,53.9,Available,68.77,53.62,367
M01654,F071,8,Robot,2011,39.96,8.95,2.48,311.79,176.83,74.01,71.19,1767,13.02,204.44,48685.57,1433.94,28531,83.52,17415.28,24.9,58,44.3,0,,89,Medium,2025-04-25 14:30:00,Preventive,Team_7,9,2025-07-06 14:30:00,Sunday,7,3,455.73,64.96,Available,85.17,21.89,155
M03051,F045,8,CNC,2010,35.23,10.38,10.47,413.28,124.11,75.29,94.03,3100,85.37,437.09,39379.44,2411.36,92221,62.46,12312.43,12.44,222,34.76,0,,30,Critical,2024-06-29 01:18:00,Preventive,Team_14,11,2024-09-07 01:18:00,Saturday,9,3,7289.79,97.9,Available,87.7,82.84,1725
M01995,F037,17,Pump,2021,58.41,17.47,11.0,326.64,78.33,80.67,83.02,2568,300.85,160.18,32440.15,415.95,68828,73.61,5043.47,28.74,154,46.15,0,Overheating,295,Critical,2023-07-13 21:01:00,Corrective,Team_7,12,2023-11-01 21:01:00,Wednesday,11,4,7886.8,91.47,Unavailable,87.84,26.33,6
M02049,F073,20,Conveyor,2010,101.46,6.55,13.73,366.92,137.05,35.3,104.67,1455,701.66,255.64,33085.77,1726.01,11005,83.16,19984.34,18.84,182,35.16,0,Motor Failure,159,Critical,2025-06-06 03:40:00,Emergency,Team_10,11,2025-10-28 03:40:00,Tuesday,10,4,1948.82,95.39,Available,63.73,98.1,1454
M01475,F051,1,Compressor,2016,37.2,14.01,14.78,375.39,180.51,40.94,97.18,989,856.42,14.12,17152.16,4896.37,13260,64.26,15306.93,34.05,128,8.12,0,Bearing Failure,142,Low,2023-11-02 08:21:00,Inspection,Team_15,0,2024-02-09 08:21:00,Friday,2,1,7963.22,99.74,Available,68.84,49.94,1361
M00642,F089,17,Pump,2020,105.18,15.88,2.88,427.15,75.97,38.54,86.33,2293,381.73,384.84,45919.22,493.31,5687,60.86,17341.36,24.06,270,20.0,0,Sensor Fault,347,Critical,2023-05-03 09:57:00,Inspection,Team_9,0,2023-07-30 09:57:00,Sunday,7,3,8779.68,80.5,Unavailable,81.46,66.72,180
M04479,F073,3,Conveyor,2014,45.16,1.48,5.25,460.31,50.38,25.23,68.92,3150,242.47,245.9,33574.63,4109.2,97752,54.44,18254.25,12.86,117,24.94,1,Bearing Failure,333,Medium,2023-11-11 01:24:00,Preventive,Team_14,9,2024-02-22 01:24:00,Thursday,2,1,1522.92,52.36,Available,94.73,55.1,1826
M01001,F045,12,Conveyor,2018,107.44,13.48,3.04,472.16,91.2,41.03,97.62,3099,351.34,449.11,34073.71,2099.03,77753,80.29,16959.05,12.28,283,8.81,0,,113,Medium,2025-08-09 10:34:00,Emergency,Team_6,14,2025-10-13 10:34:00,Monday,10,4,815.66,91.58,Available,64.85,0.61,1889
M04820,F092,2,Pump,2018,69.25,12.92,6.29,250.04,135.45,62.95,65.83,3455,259.81,173.55,3456.04,4611.08,4922,49.21,3633.28,32.45,25,71.28,0,Sensor Fault,341,Critical,2023-04-29 02:12:00,Inspection,Team_9,3,2023-05-14 02:12:00,Sunday,5,2,531.35,70.6,Unavailable,74.41,16.9,1376
M04235,F010,8,Compressor,2019,60.55,7.1,9.57,247.14,144.56,88.98,72.35,2598,244.54,291.04,12762.44,3554.03,5750,52.85,11758.67,27.81,157,64.73,0,Overheating,73,Medium,2023-06-25 16:59:00,Inspection,Team_13,4,2023-07-26 16:59:00,Wednesday,7,3,4949.68,82.42,Available,74.62,85.37,442
M02100,F035,2,CNC,2015,71.09,6.87,6.91,452.03,70.67,20.68,63.51,963,359.4,145.53,27548.41,2024.37,43093,87.42,16447.14,17.29,152,5.02,0,,106,Medium,2025-06-23 10:40:00,Inspection,Team_10,8,2025-11-23 10:40:00,Sunday,11,4,4847.78,72.26,Unavailable,87.66,57.51,1831
M02781,F070,9,CNC,2022,55.63,0.98,14.6,267.71,123.69,87.05,79.79,3535,824.01,183.04,30953.95,3589.19,6509,42.42,5031.74,12.95,192,55.81,0,Sensor Fault,44,High,2024-05-11 03:40:00,Emergency,Team_11,12,2024-09-18 03:40:00,Wednesday,9,3,3160.63,69.24,Available,98.85,79.63,1571
M04588,F004,6,Robot,2015,81.05,17.14,6.52,241.97,178.68,59.67,70.81,1400,883.92,304.42,22227.47,297.89,87805,93.77,10489.07,14.1,106,14.45,0,Motor Failure,254,Low,2024-04-03 10:18:00,Inspection,Team_20,6,2024-07-12 10:18:00,Friday,7,3,589.6,59.25,Unavailable,76.79,88.2,1516
M03682,F100,6,Pump,2021,80.09,16.29,9.59,209.44,60.12,56.72,117.72,2551,143.14,82.76,3550.16,4020.22,75171,61.73,4932.3,27.47,182,3.84,0,Power Failure,103,High,2023-03-19 19:40:00,Corrective,Team_9,11,2023-03-27 19:40:00,Monday,3,1,3103.5,74.02,Unavailable,85.88,8.57,1831
M00651,F029,2,Compressor,2023,29.94,14.05,13.19,297.05,128.56,89.12,86.32,4310,268.75,311.15,37411.42,3028.1,48321,42.35,12977.23,40.08,295,16.35,0,Motor Failure,211,High,2023-03-01 15:14:00,Preventive,Team_17,14,2023-06-24 15:14:00,Saturday,6,2,272.33,80.65,Unavailable,81.76,37.94,210
M01808,F098,2,Robot,2011,52.98,4.89,4.22,281.31,40.5,60.06,107.09,3342,17.16,167.2,28104.17,3655.2,40782,66.19,3128.25,41.79,50,97.24,0,Sensor Fault,134,Medium,2025-06-28 13:33:00,Emergency,Team_2,9,2025-08-08 13:33:00,Friday,8,3,8340.58,77.36,Unavailable,63.91,72.96,313
M00565,F017,19,Conveyor,2022,98.72,9.31,2.89,303.15,145.0,89.27,110.73,4049,383.93,201.67,30172.54,4208.77,87205,48.22,4550.74,39.75,200,64.33,0,Motor Failure,172,Critical,2023-01-24 00:00:00,Preventive,Team_10,8,2023-03-09 00:00:00,Thursday,3,1,8217.14,72.94,Available,60.19,95.01,359
M02552,F067,5,Lathe,2011,92.32,0.57,8.38,433.22,149.57,78.41,74.26,3512,776.99,78.51,37663.33,3142.68,48094,40.71,19528.28,29.53,256,56.57,0,,135,Critical,2024-01-20 07:26:00,Preventive,Team_6,8,2024-02-02 07:26:00,Friday,2,1,7256.53,85.98,Unavailable,61.35,15.7,1992
M01843,F047,6,Compressor,2015,57.47,3.46,15.0,304.32,76.43,77.6,62.04,3839,818.46,437.15,6064.73,2634.35,59380,41.77,3564.73,25.65,57,75.64,1,Bearing Failure,106,Critical,2024-07-14 15:15:00,Emergency,Team_4,7,2024-08-26 15:15:00,Monday,8,3,6502.84,82.56,Available,73.33,91.92,1492
M04064,F053,12,Lathe,2013,45.91,17.63,9.76,225.29,79.88,65.59,87.7,3677,869.72,277.54,19902.93,2886.11,59723,44.85,8696.95,38.78,81,37.25,0,Power Failure,209,Medium,2023-02-04 06:09:00,Corrective,Team_16,9,2023-06-21 06:09:00,Wednesday,6,2,4233.29,54.59,Available,89.8,92.99,1040
M02569,F031,20,Conveyor,2017,68.93,19.76,4.97,376.08,174.35,56.9,98.45,2460,65.69,236.12,706.78,4769.4,29430,73.91,11259.9,40.31,155,63.6,0,,254,Low,2024-12-02 18:03:00,Corrective,Team_11,6,2025-03-11 18:03:00,Tuesday,3,1,4726.01,92.94,Unavailable,96.11,99.07,182
M00226,F059,9,Compressor,2020,49.99,19.04,11.13,232.51,107.72,54.77,113.56,1621,481.25,244.57,16424.71,4697.82,14516,98.08,1429.08,14.55,283,87.21,0,Sensor Fault,182,Medium,2024-12-17 18:50:00,Emergency,Team_17,7,2024-12-20 18:50:00,Friday,12,4,4308.98,62.93,Available,86.55,77.72,170
M00565,F054,9,CNC,2020,84.53,3.23,1.02,429.9,109.59,60.34,109.07,3674,905.37,452.39,35007.95,2662.24,15678,89.65,4757.54,31.58,296,90.11,0,Power Failure,193,Critical,2024-09-07 20:58:00,Inspection,Team_15,0,2025-01-22 20:58:00,Wednesday,1,1,6878.98,85.19,Unavailable,61.04,56.7,523
M01624,F055,12,CNC,2020,67.85,14.53,12.12,317.02,146.96,80.85,66.36,2311,676.63,193.83,45803.31,801.14,87094,72.65,10143.69,38.11,51,12.71,0,Bearing Failure,198,High,2025-09-03 01:07:00,Inspection,Team_3,14,2025-10-06 01:07:00,Monday,10,4,3628.74,70.5,Unavailable,79.26,73.24,1964
M02185,F080,20,Conveyor,2015,109.82,0.39,10.76,225.1,36.16,36.32,100.06,1252,464.3,20.44,30105.9,3486.91,4937,67.33,16767.46,43.19,222,94.74,0,Overheating,99,Low,2025-01-22 06:05:00,Emergency,Team_1,8,2025-02-17 06:05:00,Monday,2,1,2373.24,63.79,Available,85.57,20.47,1008
M04282,F020,13,CNC,2021,92.13,13.32,12.96,229.12,56.19,88.25,62.36,2427,915.84,97.03,25510.73,108.29,81158,52.49,19570.74,27.46,48,0.46,0,Bearing Failure,172,Critical,2024-04-09 15:59:00,Inspection,Team_8,9,2024-04-13 15:59:00,Saturday,4,2,8874.87,73.18,Unavailable,71.19,7.93,1414
M01261,F029,5,Compressor,2016,51.48,2.18,6.69,237.45,151.13,42.46,96.02,707,686.77,191.54,2647.24,969.52,6701,74.02,12727.44,31.18,113,59.94,0,Bearing Failure,240,High,2023-04-10 02:12:00,Emergency,Team_3,11,2023-05-11 02:12:00,Thursday,5,2,8755.98,75.82,Available,67.17,38.85,1968
M02836,F077,17,Pump,2019,29.58,5.05,13.63,453.23,142.7,45.7,109.17,2619,485.14,408.38,30598.21,1596.21,1307,59.64,4198.99,41.09,119,87.66,0,Bearing Failure,284,High,2024-01-16 22:52:00,Inspection,Team_20,1,2024-05-10 22:52:00,Friday,5,2,7530.15,74.02,Available,95.48,78.14,40
M02048,F095,20,Lathe,2011,53.86,7.87,3.69,211.97,153.74,32.1,88.86,3350,154.34,434.36,47857.04,4527.27,46273,50.34,14790.58,42.58,124,88.33,0,Power Failure,346,High,2024-08-08 12:09:00,Corrective,Team_8,2,2024-09-13 12:09:00,Friday,9,3,5779.12,75.58,Unavailable,69.33,52.63,242
M00779,F027,13,Pump,2016,88.39,12.42,9.2,357.25,54.25,21.92,102.6,1083,89.43,50.14,41530.8,990.11,25997,70.15,8221.73,38.99,129,44.72,0,Motor Failure,162,Critical,2024-01-04 12:59:00,Emergency,Team_11,13,2024-01-07 12:59:00,Sunday,1,1,7953.31,97.75,Unavailable,94.96,74.3,1529
M02359,F092,9,CNC,2013,50.83,5.92,4.55,274.74,67.28,40.84,87.29,1877,831.24,220.66,30566.21,334.56,75318,78.95,12152.92,14.5,288,52.94,0,Bearing Failure,117,High,2023-10-22 21:18:00,Preventive,Team_19,6,2023-10-30 21:18:00,Monday,10,4,2238.66,51.92,Unavailable,60.26,22.21,1792
M02786,F022,11,Pump,2017,115.68,9.3,8.01,319.69,28.71,56.61,91.61,1067,958.22,365.19,11698.43,100.2,8194,93.33,4704.24,39.48,75,80.43,0,,64,High,2022-11-30 03:41:00,Emergency,Team_5,13,2023-05-07 03:41:00,Sunday,5,2,1548.96,51.68,Available,99.33,38.94,1555
M03101,F046,10,Pump,2017,117.6,7.32,8.76,248.92,22.24,28.72,80.87,1210,495.36,273.96,5676.72,629.08,70563,55.87,11097.59,23.46,110,1.54,1,Bearing Failure,94,Low,2024-06-01 16:18:00,Emergency,Team_7,14,2024-09-19 16:18:00,Thursday,9,3,6124.03,97.93,Unavailable,80.93,47.35,706
M04066,F098,4,Pump,2015,27.98,10.22,3.21,286.45,171.16,54.05,61.76,3996,299.37,251.27,2021.29,4481.78,11059,69.45,19962.13,24.31,179,28.93,1,,143,Critical,2022-09-03 13:47:00,Emergency,Team_14,9,2023-02-03 13:47:00,Friday,2,1,1476.22,90.95,Available,62.46,21.25,682
M00290,F033,11,Conveyor,2021,20.74,17.8,11.09,244.06,192.33,74.21,79.61,2407,444.48,128.85,28849.74,3772.13,12332,75.88,18617.37,36.45,173,92.55,0,Bearing Failure,295,Low,2025-07-08 18:20:00,Preventive,Team_13,9,2025-11-22 18:20:00,Saturday,11,4,4736.71,58.64,Available,65.53,65.58,201
M01561,F032,1,Pump,2014,78.26,2.34,1.23,342.82,140.99,82.9,69.74,4558,925.45,358.87,39253.4,4538.1,94637,63.35,11153.92,26.96,208,40.0,0,Bearing Failure,70,Low,2024-12-12 03:14:00,Preventive,Team_8,4,2025-05-16 03:14:00,Friday,5,2,2448.41,69.95,Unavailable,65.49,17.65,1546
M03987,F008,11,Lathe,2017,106.95,2.28,7.95,279.04,188.01,25.96,76.82,1951,799.65,403.17,32686.03,881.96,88807,81.32,13318.23,19.85,44,78.32,0,Overheating,43,Medium,2023-11-24 09:04:00,Corrective,Team_4,12,2024-04-28 09:04:00,Sunday,4,2,7591.24,91.93,Unavailable,95.8,98.3,828
M03373,F052,20,Conveyor,2013,75.89,7.79,8.04,249.95,62.21,53.21,60.72,2611,636.04,99.09,17871.49,2570.38,21190,82.86,7479.57,42.82,79,97.73,0,Motor Failure,55,Medium,2024-10-20 01:43:00,Emergency,Team_7,2,2024-12-31 01:43:00,Tuesday,12,4,8675.45,76.78,Unavailable,98.37,63.41,482
M03659,F048,17,Pump,2023,66.5,2.87,8.5,397.9,120.12,78.22,108.3,1168,877.39,101.91,37922.77,4097.42,61151,91.55,5105.88,23.24,285,25.61,0,Motor Failure,273,Low,2024-09-13 21:21:00,Inspection,Team_13,6,2024-12-03 21:21:00,Tuesday,12,4,6306.79,59.19,Unavailable,64.39,60.6,1601
M04040,F025,11,Robot,2021,84.17,4.97,12.96,411.57,147.01,82.26,91.26,3373,428.5,198.63,33527.71,1027.31,69276,57.95,6054.81,20.04,235,57.14,1,,274,Medium,2024-11-28 01:20:00,Preventive,Team_2,7,2024-12-31 01:20:00,Tuesday,12,4,6242.81,80.03,Unavailable,79.73,75.64,847
M03493,F089,13,CNC,2011,74.55,12.24,8.51,378.77,82.5,54.88,101.66,2385,334.09,171.44,44567.91,2890.98,1486,88.64,10124.3,21.69,249,46.8,0,,219,Critical,2023-12-16 22:52:00,Preventive,Team_7,8,2024-02-18 22:52:00,Sunday,2,1,6737.84,80.87,Available,93.03,35.0,301
M04529,F019,7,Conveyor,2017,21.05,13.32,2.68,340.66,142.76,44.28,107.37,1830,897.47,406.88,12867.56,969.33,13235,53.0,6396.28,11.76,81,20.31,0,Overheating,272,High,2024-12-13 02:57:00,Emergency,Team_4,0,2025-02-10 02:57:00,Monday,2,1,4156.0,77.66,Available,88.41,76.55,513
M01301,F067,6,CNC,2019,34.12,18.23,5.94,261.65,56.55,89.29,95.31,2920,606.25,264.0,34527.54,4503.91,23753,58.31,2533.65,15.02,190,82.31,0,Power Failure,352,Low,2025-09-11 02:29:00,Emergency,Team_18,13,2025-10-28 02:29:00,Tuesday,10,4,5551.99,60.6,Unavailable,87.04,87.86,1934
M02439,F037,3,Robot,2016,26.22,7.46,9.97,464.42,171.4,64.84,88.75,868,940.86,22.34,15221.77,47.22,10589,46.19,7135.24,16.08,142,56.56,0,Power Failure,288,High,2023-08-07 23:17:00,Inspection,Team_19,13,2023-09-15 23:17:00,Friday,9,3,5588.01,65.56,Available,78.0,90.66,853
M03885,F041,17,Compressor,2020,33.28,7.07,4.22,357.37,11.19,23.66,54.55,4733,312.87,494.2,49432.14,2351.96,11530,88.08,8162.17,17.63,241,2.14,0,Bearing Failure,129,Low,2024-08-14 10:39:00,Corrective,Team_10,0,2024-08-22 10:39:00,Thursday,8,3,8857.13,53.48,Unavailable,81.3,16.85,1629
M00741,F099,12,Lathe,2019,109.54,18.15,1.01,285.64,47.02,48.44,116.59,2266,711.3,26.42,31368.63,2418.36,74379,52.42,10319.86,25.85,95,28.53,0,Overheating,70,Critical,2025-01-27 23:49:00,Preventive,Team_19,5,2025-04-26 23:49:00,Saturday,4,2,4149.72,98.42,Available,90.71,82.73,874
M03715,F051,10,Compressor,2021,45.56,11.69,11.97,392.76,129.95,84.5,82.5,504,53.32,45.1,42328.35,3162.18,33538,80.28,873.96,12.7,142,25.32,0,Power Failure,286,Medium,2023-03-31 09:27:00,Emergency,Team_5,8,2023-07-20 09:27:00,Thursday,7,3,9372.04,59.53,Unavailable,80.04,77.23,1834
M01566,F083,16,Lathe,2014,29.31,2.12,7.9,464.74,111.29,71.16,98.19,1991,834.17,236.84,8315.99,3337.17,62863,91.67,7981.0,30.23,101,34.75,0,Bearing Failure,178,Low,2023-08-05 22:39:00,Emergency,Team_17,9,2023-12-01 22:39:00,Friday,12,4,1043.81,92.87,Available,81.46,10.79,57
M00297,F041,14,Conveyor,2019,111.41,13.79,8.25,373.87,82.17,53.8,65.72,780,187.64,26.67,31408.88,1438.16,50878,86.91,2280.36,25.15,152,40.06,1,Sensor Fault,50,Medium,2024-10-16 07:53:00,Preventive,Team_14,14,2025-01-28 07:53:00,Tuesday,1,1,1036.19,51.76,Unavailable,65.4,4.74,1269
M01602,F003,13,Pump,2014,57.34,9.39,14.85,320.8,38.61,24.89,65.21,3210,185.71,58.68,46286.53,1853.33,98773,78.03,19571.02,33.22,287,7.33,0,Bearing Failure,7,Medium,2025-02-25 04:31:00,Preventive,Team_16,14,2025-06-10 04:31:00,Tuesday,6,2,9131.56,61.57,Available,85.41,99.61,189
M03800,F009,1,Lathe,2017,70.19,4.41,10.88,235.68,39.35,47.56,105.9,1152,331.89,389.72,37050.56,4779.44,35203,61.1,2230.92,28.47,103,64.23,0,Power Failure,150,Low,2024-12-02 07:11:00,Preventive,Team_7,6,2025-03-24 07:11:00,Monday,3,1,1031.32,86.48,Unavailable,80.31,53.62,1712
M03336,F081,11,Lathe,2021,72.81,15.48,14.62,420.29,121.57,20.42,101.05,4406,649.63,314.86,5243.69,1712.92,92059,45.42,3510.92,37.98,51,0.14,0,Overheating,119,Critical,2024-03-29 14:06:00,Corrective,Team_20,4,2024-06-13 14:06:00,Thursday,6,2,5896.7,91.3,Unavailable,73.74,55.51,180
M02683,F036,13,Lathe,2013,94.35,16.76,8.11,241.62,72.85,70.25,103.35,4517,482.85,424.63,34661.85,2216.84,3905,64.79,8329.26,28.61,220,72.66,0,Motor Failure,158,Low,2025-02-21 09:08:00,Emergency,Team_17,13,2025-06-11 09:08:00,Wednesday,6,2,1723.34,84.04,Available,83.57,50.73,320
M02742,F071,19,CNC,2010,107.39,15.39,5.31,220.63,104.51,57.63,76.87,1850,975.1,91.29,39596.08,441.57,36053,74.38,16513.87,20.75,116,10.44,0,,122,Critical,2023-12-13 01:51:00,Corrective,Team_1,4,2024-05-02 01:51:00,Thursday,5,2,4028.47,86.97,Unavailable,76.42,3.27,1909
M03051,F075,14,Robot,2017,89.77,2.74,13.05,364.39,15.66,36.23,55.16,3178,252.96,270.61,26870.84,3197.01,88108,60.23,13555.51,11.06,216,90.41,0,Sensor Fault,230,Critical,2023-09-12 08:33:00,Emergency,Team_9,7,2023-10-13 08:33:00,Friday,10,4,1584.79,76.71,Available,65.46,90.08,751
M04200,F075,2,Pump,2021,110.3,15.7,6.02,208.51,129.86,70.99,111.88,891,872.33,64.83,607.63,1498.26,32276,93.33,7204.59,41.04,29,77.35,0,,103,Medium,2024-07-17 13:13:00,Inspection,Team_4,12,2024-10-01 13:13:00,Tuesday,10,4,1871.84,68.93,Available,67.89,1.34,1733
M02781,F046,9,Conveyor,2022,102.96,15.09,14.46,412.22,41.14,56.83,63.27,3144,472.24,1.59,26172.11,2848.32,51976,76.31,19166.14,22.78,264,79.66,0,Overheating,2,Low,2023-10-21 20:00:00,Preventive,Team_20,14,2024-04-13 20:00:00,Saturday,4,2,3312.15,99.25,Unavailable,71.81,69.04,703
M04076,F072,15,Lathe,2018,23.53,8.4,1.91,336.39,19.65,40.64,103.32,3801,194.64,481.82,5404.43,3277.81,48571,90.64,3934.02,13.11,80,48.66,0,,172,High,2023-09-23 07:04:00,Corrective,Team_12,12,2023-11-01 07:04:00,Wednesday,11,4,1614.3,53.24,Available,70.98,86.4,745
M04279,F004,11,Lathe,2010,45.74,19.73,5.9,217.8,186.32,58.11,66.33,4630,360.19,356.27,21139.02,1897.54,21794,78.19,3167.75,10.65,65,10.51,0,Motor Failure,241,High,2025-04-13 10:10:00,Emergency,Team_7,11,2025-04-17 10:10:00,Thursday,4,2,1105.8,58.85,Unavailable,71.83,1.77,483
M03093,F013,16,Lathe,2017,36.31,14.8,14.34,254.05,55.88,30.78,115.31,2512,412.62,278.41,38622.55,4529.07,26575,81.41,7030.84,41.47,284,17.5,0,Bearing Failure,7,Critical,2023-08-11 18:11:00,Inspection,Team_13,2,2023-12-30 18:11:00,Saturday,12,4,7478.69,60.75,Available,94.79,19.35,707
M04989,F050,8,Lathe,2011,76.22,19.82,14.69,423.58,133.24,23.49,93.59,1611,288.21,391.31,23457.34,2745.59,42723,79.26,14040.62,14.73,209,7.76,0,Bearing Failure,163,High,2024-11-11 09:34:00,Inspection,Team_13,1,2025-04-09 09:34:00,Wednesday,4,2,5508.45,50.67,Available,71.9,30.52,1795
M01895,F031,10,Conveyor,2010,67.73,6.53,1.89,229.36,125.11,28.09,73.07,3832,907.41,478.78,22625.92,42.9,59860,59.27,16456.82,39.83,131,84.96,0,,315,Low,2025-06-12 16:16:00,Inspection,Team_4,10,2025-10-06 16:16:00,Monday,10,4,9407.79,56.22,Available,94.61,55.9,1114
